database_id,dev_code,mapping_title,api_title,introduction,status,error
112,Theme_99,nesno wons,nesno wons,活动「227号温泉乡的运营记录」使用曲目，非常悠闲惬意，在温泉乡里休息一下吧。,ok,
113,Theme_100,Undefined Behavior,Undefined Behavior,总力战HOD使用曲目，在HOD总力战过程中循环播放。与前身为千禧科学学院通信单元AI的预言者战斗，相当有科技感与hardcore风格。,ok,
114,Theme_101,NRG FielD,NRG FielD,常见战斗曲目之一。,ok,
115,Theme_102,GIVE ME CHOCO♡,GIVE ME CHOCO♡,活动「夏莱的快乐情人节巡逻」使用曲目，使用了类似于汽车鸣笛声的采样音，契合了基沃托斯情人节欢快的警察故事。,ok,
116,Theme_103,Poppin' Memories,Poppin' Memories,非常欢快、跳脱的音乐，非常适合与活力四射的学生们一起度过的回忆。,ok,
117,Theme_104,Cotton Candy Island,Cotton Candy Island,平稳的主旋律中，不断地回荡着电钢琴的旋律。正是在这样的日常里，大家都拥有属于自己的小小的、令人欣喜的幸福。,ok,
118,Theme_105,Alkaline Tears,Alkaline Tears,背景中连绵不断地下着雨，让过去的悲痛与伤痕追上现在的、充满悲伤气息的乐曲。常用于角色坦白自己的悲伤、过错的场景，亦或者只是在单纯地展现自己的心声时使用。,ok,
119,Theme_106,Blue New Battle,Blue New Battle,活动「新春狂想曲 第68番」战斗用曲，非常有活力的新年风格乐曲，新的一年，也与学生们在基沃托斯四处奔波着解决麻烦。,ok,
120,Theme_107,NERINERI CHALLENGE,NERINERI CHALLENGE,活动「基沃托斯大运动会 晄轮大祭 Get Set，Go！」战斗使用曲目，同时是火力演习大使用曲目，充满活力、热情四射的一首歌，也是富有运动会特征的歌。,ok,
121,Theme_108,Starting Pistol,Starting Pistol,活动「ON YOUR MARK @ MILLENNIUM」战斗使用曲目，同时也是火力演习使用曲目，使用了大量哨声采样与喝彩声，基沃托斯最热闹的大运动会蓄势待发。,ok,
122,Theme_109,Dolce Biblioteca,Dolce Biblioteca,"属于图书馆和修女会的音乐。""Dolce Biblioteca""为意大利语的“甜蜜的图书馆”。尽管带有图书馆一词，这首歌却并不静谧平缓，而是有着相当活泼而有动感的节奏与风格，节拍就如同少女加速的心跳一般敲击着心房，令人心动。",ok,
123,Theme_110,Codex of Omen,Codex of Omen,Vol3贝阿朵莉切战使用曲目，不属于这个世界的恐怖降临到了这个世界上。,ok,
124,Theme_113,Usagi Flap,Usagi Flap,Rabbit小队代表曲，使用了Rabbit小队最具代表性的人声采样，最适合即使在公园长期露宿也总是有着用不完的活力的小兔子们的歌曲。,ok,
125,Theme_114,Unwelcome Guest,Unwelcome Guest,Vol4使用曲目，常用于基沃托斯某神秘组织「所确幸」的出场环节中。,ok,
126,,Unwelcome Guest 8-Bit Arrange,Unwelcome Guest 8-Bit Arrange,Unwelcome  Guest的8bit重排版本。,ok,
127,Theme_115,Fall into the rabbit hole,Fall into the rabbit hole,Vol4使用曲目，紧张的特种作战进行中。Rabbit小队，也是会捕食的。,ok,
128,Theme_116,IROHANI HOP,IROHANI HOP,主要用于活动「不忍之心」战斗的曲目，歌曲中使用了很多枪械声采样与和风乐器，作为百鬼夜行的忍者们与来自万魔殿的坦克的行进曲。,ok,
129,Theme_117,KARAKURhythm,KARAKURhythm,活动「不忍之心」使用曲目，主要使用人声采样构建主要旋律，动感强烈，吸引着人参与到百鬼夜行（有大量格黑娜学生参加的）的旅游活动中。,ok,
130,Theme_118,Agnus Dei,Agnus Dei,常用战斗曲，反复敲响的钟声似乎在为谁的逝去而鸣，令人害怕战场的前方究竟隐藏着什么危机。Agnus Dei是拉丁语中的“神的羔羊”，一般用于指代耶稣基督。,ok,
131,Theme_119,Blood Stained Faith,Blood Stained Faith,贝阿朵莉切战使用曲目，染血的信仰。电子风格浓厚，带有人声咏唱和声，令人置身于与外来崇高存在的战斗之中，热血沸腾。,ok,
132,Theme_120,DIVE INTO SUMMER,DIVE INTO SUMMER,活动「阿比多斯度假胜地复兴对策委员会」使用曲目，主要使用人声采样来构建旋律，这种喧闹感也是阿比多斯对策委员会的学生们暑期所拥有的主旋律。,ok,
133,Theme_121,Na Na Natsu!,Na Na Natsu!,联合作战「若藻（泳装）」使用曲目，同时也是总力战「气垫船」使用曲目，在总力战过程中循环播放。这是按照夏日度假的风格所做的战斗用曲，在海边度假的日子里，也要守护好我们的度假地。,ok,
134,Theme_122,Underwater Jungle,Underwater Jungle,战斗用曲，也意味着事件发展也急转直下，死死地抓住了每个人的心弦，情况正在彻底失控。,ok,
135,Theme_123,Luxury Cool,Luxury Cool,战斗用曲，但却有着不紧不慢的节奏，更像是来轻松地度假了。不过度假也不能忘记维护我们的美好日常。,ok,
136,Theme_124,TOMODACHI Summer,TOMODACHI Summer,活动「出差！百夜堂海之家FC计划」使用曲目，夏日感强烈，令人回忆起与朋友们在暑期假日、海边充满活力的假期时光。,ok,
137,Theme_125,Kaphar,Kaphar,kaphar，希伯来语中意为“赎罪”、“弥补”。这是“困于牢笼中的公主”一节所使用的曲目，为未花在监狱里做礼拜时听的赞美歌。其旋律与垂怜经Kyrie Eleison相同。,ok,
138,,Kaphar (Blank),Kaphar (Blank),kaphar，希伯来语中意为“赎罪”、“弥补”。这是“困于牢笼中的公主”一节所使用的曲目的较短版本，为未花在监狱里做礼拜时听的赞美歌。其旋律与垂怜经Kyrie Eleison相同。,ok,
139,Theme_127,Wave & Conquer,Wave & Conquer,活动「出差！百夜堂海之家FC计划」占领战使用曲目，让人仿佛置身于夏日度假胜地般的欢快夏日曲风。,ok,
140,Theme_128,After School Dessert,After School Dessert,活动「放学后甜点故事 甜香的秘密和枪战」使用曲目，放学后甜点部的代表曲目，欢快而脱线的曲风，为活动定下了基调——活力四射的学生们把事情搅得天翻地覆。,ok,
141,Theme_129,Let me think about it,Let me think about it,剧情常用曲，科技感强烈，也许作战会议正在进行中。,ok,
142,Theme_130,Foolish Days,Foolish Days,剧情常用曲，旋律平稳，很适合处理日常的小插曲，不过很有可能是你不乐意见到的小插曲。,ok,
143,Theme_131,Shooting Athletes,Shooting Athletes,活动「ON YOUR MARK @ MILLENNIUM」使用曲目，描绘了运动会开幕前夕，大家紧锣密鼓地为运动会筹备事宜的、团结一致的景象。,ok,
144,Theme_132,Raise the Huddle,Raise the Huddle,运动会战斗用曲，使用了非常有特点的哨声采样，鼓点强劲，蓄势待发，冲上赛道！,ok,
145,Theme_133,Goal Wo Nerae!,Goal Wo Nerae!,活动「基沃托斯大运动会 晄轮大祭 Get Set，Go！」使用曲目，青春洋溢的风格，果然还是得有运动、竞技、友情！,ok,
146,Theme_134,Gestalt Angst,Gestalt Angst,神秘、诡异、幽森、恐怖，此处隐藏什么不可告人的巨大秘密，越是接近真相，越可能陷入疯狂。,ok,
147,Theme_135,Fruitful Blossom,Fruitful Blossom,Lo-Fi风格的音乐，温柔的风格似乎能感化人心，很适合双方互相袒露自己的心声。,ok,
148,Theme_136,Kyrie Eleison,Kyrie Eleison,Vol3.4使用曲目，未花所唱的垂怜经的无人声版，是礼拜时，向主承认自己的错误、祈求主的的原谅的诗歌。,ok,
149,,Kyrie Eleison (Short),Kyrie Eleison (Short),Vol3.4使用曲目，未花所唱的垂怜经的无人声版，是礼拜时，向主承认自己的错误、祈求主的的原谅的诗歌。,ok,
150,Theme_137,Theme_137,Theme_137,科技感强烈的歌曲，很适合高科技设备的登场。,ok,
151,Theme_138,Utaha No Uta,Utaha No Uta,日本演歌风格的乐曲，似乎深受某些兴趣比较独特的学生们的喜爱。,ok,
152,Theme_139,Cherry Berry Merry,Cherry Berry Merry,活动「圣堂的圣诞快乐~救护骑士团的赠礼~」使用曲目，在基沃托斯的圣诞节，大家也要和平相处，快快乐乐地度过平安夜。,ok,
153,Theme_140,Defective Pixel,Defective Pixel,Vol2使用曲，Pixel Time的变奏，像是坏掉的八音盒一般，反复重复着过去美好的回忆。成为勇者的愿望，平稳快乐的日常，似乎就这样从脚下开始崩坏。,ok,
154,Theme_141,Tasty New Year,Tasty New Year,活动「正餐前的开胃年菜 ~ 一局定输赢 ～」使用曲目，平缓而清晰的节奏音，祈祷新的一年也能平稳地度过。,ok,
155,Theme_142,Encroached sky,Encroached sky,最终章使用曲目，相当hardstyle的乐曲，警报大作，全员戒备。,ok,
156,,Encroached sky (Short),Encroached sky (Short),bgm出现于终章最终章使用曲目，相当hardstyle的乐曲，警报大作，全员戒备。,ok,
157,Theme_143,!؟ WAS IT A CAT I SAW !?,!؟ WAS IT A CAT I SAW !?,总力战Goz使用曲目，在总力战Goz战斗时循环播放。,ok,
158,Theme_148,Polyphonic,Polyphonic,活动 虚妄的神圣之塔攻略战使用曲目，电子风格浓厚，所有学生团结起来面对敌人的（也许并不紧张的）战斗开始了。,ok,
159,Theme_151,Kaiten Hurricane!!!,Kaiten  Hurricane!!!,Kaiten Screw!!!的变奏，用于超巨大寿司机器人KAITEN FX Mk.∞与佩洛洛斯拉（色彩）的战斗中，超巨大机器人才是真正的浪漫！,ok,
160,,Kaiten Hurricane!!! (Short),Kaiten  Hurricane!!! (Short),Kaiten Screw!!!的变奏，用于超巨大寿司机器人KAITEN FX Mk.∞与佩洛洛斯拉（色彩）的战斗中，超巨大机器人才是真正的浪漫！,ok,
161,,Kaiten Hurricane!!! (Very Short),Kaiten  Hurricane!!! (Very Short),Kaiten Screw!!!的变奏，用于超巨大寿司机器人KAITEN FX Mk.∞与佩洛洛斯拉（色彩）的战斗中，超巨大机器人才是真正的浪漫！,ok,
162,Theme_159,Operation☆DOTABATA,Operation☆DOTABATA,活动 白色的预告信 使用曲目，女仆勇者和兔女郎特工大战怪盗的场景映入眼帘。,ok,
163,Theme_160,Noble Hallway,Noble Hallway,战斗用曲，宅邸里有怪盗，请小心谨慎。,ok,
164,Theme_161,Oriental Bounce,Oriental Bounce,活动龙武同舟使用曲目，包含了中国乐器要素，富有活力，热闹非凡。,ok,
165,Theme_162,Welcome School,Welcome School,Unwelcome School的变奏。作为蔚蓝档案最具代表性的曲目之一，在合适的时候响起这首温柔的变奏，令人回忆起一切故事的起点。,ok,
166,Theme_172,Rendezvous Recorder ver,Rendezvous Recorder ver,南练习竖笛的片段，宛如天籁，仿佛世界的喧嚣都被这音乐所吞噬，每一个音符都像是从天堂飘落下来的羽毛，轻轻地触碰路人们的心灵，这段旋律如同山间清晨的溪流，清脆悠扬，让人心旷神怡。就好像一位大师级的画家，每一个音符都被精心描绘，每一段旋律都被巧妙编织，如同一首美妙的诗，让人沉醉其中，无法自拔。,ok,
167,,私たちのクエスト(Instrumental Ver),私たちのクエスト(Instrumental Ver),游戏部第二章主题曲的无人声版，游戏部的故事才刚刚开始，还将继续编织下去。,ok,
